Fecha;Precio
1/01/2000;371375
1/02/2000;354297
1/03/2000;360016
1/04/2000;347538
1/05/2000;353750
1/06/2000;341688
1/07/2000;345190
1/08/2000;330113
1/09/2000;330000
1/10/2000;330000
1/11/2000;330000
1/12/2000;330000
1/01/2001;321671
1/02/2001;291527
1/03/2001;297145
1/04/2001;313350
1/05/2001;339956
1/06/2001;294696
1/07/2001;280161
1/08/2001;283710
1/09/2001;287563
1/10/2001;260782
1/11/2001;274963
1/12/2001;269964
1/01/2002;276480
1/02/2002;270960
1/03/2002;296859
1/04/2002;307892
1/05/2002;284464
1/06/2002;277875
1/07/2002;264823
1/08/2002;260185
1/09/2002;302300
1/10/2002;311722
1/11/2002;322517
1/12/2002;285694
1/01/2003;323838
1/02/2003;320897
1/03/2003;299593
1/04/2003;312583
1/05/2003;314218
1/06/2003;290500
1/07/2003;319355
1/08/2003;300726
1/09/2003;308633
1/10/2003;296230
1/11/2003;298533
1/12/2003;304540
1/01/2004;334391
1/02/2004;334858
1/03/2004;342669
1/04/2004;327254
1/05/2004;346230
1/06/2004;379408
1/07/2004;320315
1/08/2004;317887
1/09/2004;351521
1/10/2004;351024
1/11/2004;388121
1/12/2004;422786
1/01/2005;417661
1/02/2005;484335
1/03/2005;558593
1/04/2005;518929
1/05/2005;503161
1/06/2005;464250
1/07/2005;414730
1/08/2005;410843
1/09/2005;383388
1/10/2005;430415
1/11/2005;450658
1/12/2005;447875
1/01/2006;525206
1/02/2006;476201
1/03/2006;445254
1/04/2006;467946
1/05/2006;457887
1/06/2006;449379
1/07/2006;451754
1/08/2006;461024
1/09/2006;441821
1/10/2006;429121
1/11/2006;475658
1/12/2006;509867
1/01/2007;477403
1/02/2007;471286
1/03/2007;440387
1/04/2007;424708
1/05/2007;407157
1/06/2007;425563
1/07/2007;417871
1/08/2007;449964
1/09/2007;483642
1/10/2007;496407
1/11/2007;489550
1/12/2007;505613
1/01/2008;501520
1/02/2008;544293
1/03/2008;494048
1/04/2008;439908
1/05/2008;435077
1/06/2008;455125
1/07/2008;463806
1/08/2008;499935
1/09/2008;542379
1/10/2008;515869
1/11/2008;523921
1/12/2008;509230
1/01/2009;570742
1/02/2009;638629
1/03/2009;660395
1/04/2009;765396
1/05/2009;835198
1/06/2009;666450
1/07/2009;642282
1/08/2009;672516
1/09/2009;613788
1/10/2009;565702
1/11/2009;591575
1/12/2009;673117
1/01/2010;716730
1/02/2010;678531
1/03/2010;688281
1/04/2010;660179
1/05/2010;676952
1/06/2010;750263
1/07/2010;810629
1/08/2010;834798
1/09/2010;801608
1/10/2010;751222
1/11/2010;790296
1/12/2010;896589
1/01/2011;948323
1/02/2011;1024314
1/03/2011;1079008
1/04/2011;1070912
1/05/2011;1021803
1/06/2011;965117
1/07/2011;931452
1/08/2011;963077
1/09/2011;975683
1/10/2011;909089
1/11/2011;925595
1/12/2011;897911
1/01/2012;874863
1/02/2012;826220
1/03/2012;727565
1/04/2012;703033
1/05/2012;670335
1/06/2012;592504
1/07/2012;648097
1/08/2012;611621
1/09/2012;623425
1/10/2012;589464
1/11/2012;538683
1/12/2012;521262
1/01/2013;527980
1/02/2013;504406
1/03/2013;512520
1/04/2013;515554
1/05/2013;511000
1/06/2013;476450
1/07/2013;467210
1/08/2013;452133
1/09/2013;435563
1/10/2013;407206
1/11/2013;384813
1/12/2013;401649
1/01/2014;429661
1/02/2014;602313
1/03/2014;758746
1/04/2014;796838
1/05/2014;743899
1/06/2014;664917
1/07/2014;644649
1/08/2014;715621
1/09/2014;715708
1/10/2014;805931
1/11/2014;771579
1/12/2014;781746
1/01/2015;768548
1/02/2015;724982
1/03/2015;684923
1/04/2015;687371
1/05/2015;631319
1/06/2015;671900
1/07/2015;678778
1/08/2015;772657
1/09/2015;718671
1/10/2015;733637
1/11/2015;735033
1/12/2015;789258
1/01/2016;787528
1/02/2016;791776
1/03/2016;799129
1/04/2016;756367
1/05/2016;755323
1/06/2016;794433
1/07/2016;835516
1/08/2016;794032
1/09/2016;860867
1/10/2016;914613
1/11/2016;1007533
1/12/2016;860806
1/01/2017;883226
1/02/2017;859286
1/03/2017;850065
1/04/2017;804900
1/05/2017;802516
1/06/2017;783400
1/07/2017;849323
1/08/2017;851903
1/09/2017;813763
1/10/2017;776919
1/11/2017;784504
1/12/2017;757968
1/01/2018;763903
1/02/2018;745031
1/03/2018;729855
1/04/2018;715325
1/05/2018;754210
1/06/2018;746400
1/07/2018;717839
1/08/2018;705065
1/09/2018;686933
1/10/2018;796774
1/11/2018;804283
1/12/2018;727645
1/01/2019;727274
1/02/2019;708089
1/03/2019;690581
1/04/2019;680567
1/05/2019;724065
1/06/2019;779917
1/07/2019;796484
1/08/2019;798935
1/09/2019;815450
1/10/2019;819581
1/11/2019;909600
1/12/2019;999129
1/01/2020;886161
1/02/2020;909103
1/03/2020;1143194
1/04/2020;1175567
1/05/2020;1068871
1/06/2020;962800
1/07/2020;1001452
1/08/2020;1143968
1/09/2020;1142233
1/10/2020;1052484
1/11/2020;1044700
1/12/2020;1047677
1/01/2021;1073194
1/02/2021;1113536
1/03/2021;1156032
1/04/2021;1207433
1/05/2021;1385935
1/06/2021;1420800
1/07/2021;1562742
1/08/2021;1704806
1/09/2021;1712138
1/10/2021;1784935
1/11/2021;1999655
1/12/2021;2116484
1/01/2022;2148333
1/02/2022;2213333
1/03/2022;1988774
1/04/2022;2027448
1/05/2022;2096733
1/06/2022;2172233
1/07/2022;2250290
1/08/2022;2315548
1/09/2022;2398967
1/10/2022;2277290
1/11/2022;1990067
1/12/2022;1933032
1/01/2023;1838032
1/02/2023;2075286
1/03/2023;1993129
1/04/2023;1978900
1/05/2023;1895968
1/06/2023;1577900
1/07/2023;1318774
1/08/2023;1319097
1/09/2023;1285967
1/10/2023;1379065
1/11/2023;1406448
1/12/2023;1468258
1/01/2024;1423000
1/02/2024;1456862
1/03/2024;1440129
1/04/2024;1661933
1/05/2024;1596129
1/06/2024;1817033
1/07/2024;1876387
1/08/2024;1943323
1/09/2024;2120233
1/10/2024;2173290
1/11/2024;2456567
1/12/2024;2764871
1/01/2025;2751258
1/02/2025;3118571
1/03/2025;3054452
1/04/2025;3044433
1/05/2025;3012759
1/06/2025;2700567
1/07/2025;2369903
1/08/2025;2758032
