Fecha;Temperatura
1/01/1981;22,25
1/02/1981;22,15
1/03/1981;22,99
1/04/1981;22,99
1/05/1981;22,36
1/06/1981;21,24
1/07/1981;21,73
1/08/1981;21,66
1/09/1981;21,7
1/10/1981;21,42
1/11/1981;21,22
1/12/1981;21,12
1/01/1982;22,36
1/02/1982;21,83
1/03/1982;22,61
1/04/1982;22,83
1/05/1982;21,98
1/06/1982;21,7
1/07/1982;21,24
1/08/1982;22,19
1/09/1982;21,93
1/10/1982;20,18
1/11/1982;21,4
1/12/1982;21,65
1/01/1983;23,95
1/02/1983;24,21
1/03/1983;24,44
1/04/1983;22,6
1/05/1983;22,24
1/06/1983;22,34
1/07/1983;22,06
1/08/1983;21,99
1/09/1983;21,8
1/10/1983;21,57
1/11/1983;21,88
1/12/1983;21,06
1/01/1984;20,99
1/02/1984;21,54
1/03/1984;22,98
1/04/1984;22,67
1/05/1984;22,15
1/06/1984;21,02
1/07/1984;20,92
1/08/1984;21,5
1/09/1984;21,35
1/10/1984;20,28
1/11/1984;20,49
1/12/1984;21,56
1/01/1985;21,87
1/02/1985;22,57
1/03/1985;22,93
1/04/1985;22,87
1/05/1985;21,94
1/06/1985;21,62
1/07/1985;20,94
1/08/1985;20,89
1/09/1985;21,03
1/10/1985;20,92
1/11/1985;21,37
1/12/1985;21,29
1/01/1986;21,23
1/02/1986;22,46
1/03/1986;22,26
1/04/1986;22,09
1/05/1986;22,31
1/06/1986;21,29
1/07/1986;21,26
1/08/1986;22,15
1/09/1986;22,22
1/10/1986;20,85
1/11/1986;21,32
1/12/1986;21,88
1/01/1987;22,36
1/02/1987;24,23
1/03/1987;22,93
1/04/1987;23,18
1/05/1987;22,24
1/06/1987;21,97
1/07/1987;21,49
1/08/1987;22,06
1/09/1987;21,3
1/10/1987;20,83
1/11/1987;21,59
1/12/1987;22,81
1/01/1988;22,95
1/02/1988;23,44
1/03/1988;23,66
1/04/1988;22,67
1/05/1988;20,95
1/06/1988;20,87
1/07/1988;20,97
1/08/1988;20,63
1/09/1988;20,85
1/10/1988;20,51
1/11/1988;20,34
1/12/1988;20,95
1/01/1989;21,52
1/02/1989;22,33
1/03/1989;23,87
1/04/1989;22,66
1/05/1989;22,02
1/06/1989;21,24
1/07/1989;21,59
1/08/1989;20,66
1/09/1989;21,47
1/10/1989;21,38
1/11/1989;22,42
1/12/1989;22,17
1/01/1990;22,4
1/02/1990;22,4
1/03/1990;23,32
1/04/1990;23,37
1/05/1990;22,27
1/06/1990;22,12
1/07/1990;21,42
1/08/1990;21,74
1/09/1990;21,67
1/10/1990;19,59
1/11/1990;20,56
1/12/1990;22,64
1/01/1991;22,42
1/02/1991;23,18
1/03/1991;23,52
1/04/1991;22,13
1/05/1991;22,58
1/06/1991;22,4
1/07/1991;21,44
1/08/1991;21,62
1/09/1991;21,84
1/10/1991;21,38
1/11/1991;21,67
1/12/1991;21,72
1/01/1992;22,71
1/02/1992;23,54
1/03/1992;24,32
1/04/1992;23,74
1/05/1992;22,54
1/06/1992;21,87
1/07/1992;21,42
1/08/1992;21,83
1/09/1992;21,5
1/10/1992;21,69
1/11/1992;21,73
1/12/1992;21,48
1/01/1993;22,22
1/02/1993;23,52
1/03/1993;23,09
1/04/1993;22,59
1/05/1993;22,31
1/06/1993;22,13
1/07/1993;21,8
1/08/1993;21,9
1/09/1993;21,31
1/10/1993;21,77
1/11/1993;20,68
1/12/1993;22,21
1/01/1994;22,75
1/02/1994;22,57
1/03/1994;22,91
1/04/1994;22,3
1/05/1994;21,85
1/06/1994;21,6
1/07/1994;21,47
1/08/1994;21,2
1/09/1994;21,82
1/10/1994;22,11
1/11/1994;21,59
1/12/1994;22,17
1/01/1995;22,82
